Python File Name,Threat Level,Type of Error,LOC,Description,Code segments
cirq\cirq\circuits\circuit.py,1,Annotation Variable,903,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type[NotImplemented]]:"
cirq\cirq\circuits\circuit.py,1,Annotation Variable,903, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type[NotImplemented]]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,216,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,216, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,361,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,361, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,531,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,531, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\controlled_gate.py,1,Annotation Variable,92,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\controlled_gate.py,1,Annotation Variable,92, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\eigen_gate.py,1,Annotation Variable,183,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\eigen_gate.py,1,Annotation Variable,183, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\gate_operation.py,1,Annotation Variable,145,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\gate_operation.py,1,Annotation Variable,145, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\protocols\inverse_test.py,1,Annotation Variable,25,invalid type comment or annotation,"def __pow__(self, exponent) -> type(NotImplemented):"
cirq\cirq\protocols\inverse_test.py,1,Annotation Variable,25, Suggestion: use type[...] instead of type(...),"def __pow__(self, exponent) -> type(NotImplemented):"
cirq\cirq\protocols\unitary.py,1,Annotation Variable,34,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\protocols\unitary.py,1,Annotation Variable,34, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\protocols\unitary_test.py,1,Annotation Variable,29,invalid type comment or annotation,def _unitary_(self) -> type(NotImplemented):
cirq\cirq\protocols\unitary_test.py,1,Annotation Variable,29, Suggestion: use type[...] instead of type(...),def _unitary_(self) -> type(NotImplemented):
cirq\setup.py,3,Module Error,16,No library stub file for module 'setuptools',
cirq\cirq\linalg\transformations.py,3,Module Error,19,No library stub file for module 'numpy',
cirq\cirq\linalg\tolerance.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\protocols\unitary.py,3,Module Error,17,No library stub file for module 'numpy',
cirq\cirq\protocols\unitary.py,2,syntax,34,"type expects no type arguments, but 1 given",
cirq\cirq\linalg\predicates.py,3,Module Error,17,No library stub file for module 'numpy',
cirq\cirq\linalg\combinators.py,3,Module Error,20,No library stub file for module 'numpy',
cirq\docs\snippets_test.py,3,Module Error,22,No library stub file for module 'pytest',
cirq\cirq\linalg\diagonalize.py,3,Module Error,19,No library stub file for module 'numpy',
cirq\cirq\linalg\decompositions.py,3,Module Error,23,No library stub file for module 'numpy',
cirq\cirq\value\angle.py,3,Module Error,17,No library stub file for module 'numpy',
cirq\cirq\testing\equals_tester_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\linalg\predicates_test.py,3,Module Error,16,No library stub file for module 'numpy',
cirq\cirq\google\sim\mem_manager.py,3,Module Error,21,No library stub file for module 'numpy',
cirq\dev_tools\shell_tools_test.py,3,Module Error,19,No library stub file for module 'pytest',
cirq\cirq\testing\lin_alg_utils.py,3,Module Error,19,No library stub file for module 'numpy',
cirq\cirq\study\trial_result.py,3,Module Error,20,No library stub file for module 'numpy',
cirq\cirq\study\trial_result.py,1,Annotation Variable,164,"Incompatible types in assignment (expression has type ""List[Tuple[]]"", variable has type ""Iterator[Any]"")",
cirq\cirq\study\trial_result.py,1,Annotation Variable,164,note: 'list' is missing following 'Iterator' protocol member:,
cirq\cirq\study\trial_result.py,1,Annotation Variable,164, note:     __next__,
cirq\cirq\study\sweeps.py,2,syntax,32,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\protocols\inverse.py,1,Annotation Variable,22,Need type annotation for 'RaiseTypeErrorIfNotProvided',
cirq\cirq\protocols\inverse.py:25,1,Annotation Variable,25,Cannot determine type of 'RaiseTypeErrorIfNotProvided',
cirq\cirq\protocols\inverse.py,1,Annotation Variable,67,Need type annotation for 'unique_indicator',
cirq\cirq\protocols\inverse.py,1,Annotation Variable,73,Cannot determine type of 'RaiseTypeErrorIfNotProvided',
cirq\cirq\ops\raw_types.py,2,syntax,103,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\google\sim\xmon_stepper.py,3,Module Error,27,No library stub file for module 'numpy',
cirq\cirq\devices\device.py,2,syntax,28,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\study\visualize.py,3,Module Error,17,No library stub file for module 'numpy',
cirq\cirq\study\visualize.py,3,Module Error,40,No library stub file for module 'matplotlib',
cirq\cirq\study\visualize.py,3,Module Error,40,No library stub file for module 'matplotlib.pyplot',
cirq\cirq\ops\gate_features.py,2,syntax,31,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,40,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,53,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,99,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,107,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,205,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,226,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,247,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,267,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,288,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,298,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,312,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,376,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\gate_features.py,2,syntax,387,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\reversible_composite_gate.py,2,syntax,27,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\ops\matrix_gates.py,3,Module Error,19,No library stub file for module 'numpy',
cirq\cirq\ops\gate_operation.py,3,Module Error,21,No library stub file for module 'numpy',
cirq\cirq\ops\gate_operation.py,2,syntax,145,"type expects no type arguments, but 1 given",
cirq\cirq\ops\eigen_gate.py,3,Module Error,17,No library stub file for module 'numpy',
cirq\cirq\ops\eigen_gate.py,2,syntax,183,"type expects no type arguments, but 1 given",
cirq\cirq\ops\controlled_gate.py,3,Module Error,17,No library stub file for module 'numpy',
cirq\cirq\ops\controlled_gate.py,2,syntax,92,"type expects no type arguments, but 1 given",
cirq\cirq\ops\common_gates.py,3,Module Error,18,No library stub file for module 'numpy',
cirq\cirq\ops\three_qubit_gates.py,3,Module Error,19,No library stub file for module 'numpy',
cirq\cirq\ops\three_qubit_gates.py,2,syntax,36,"The return type of ""__init__"" must be None",
cirq\cirq\ops\three_qubit_gates.py,2,syntax,129,"The return type of ""__init__"" must be None",
cirq\cirq\ops\clifford_gate.py,3,Module Error,18, No library stub file for module 'numpy',
cirq\cirq\ops\pauli_interaction_gate.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\decompositions.py,3,Module Error,21, No library stub file for module 'numpy',
cirq\cirq\circuits\qasm_output.py,3,Module Error,23, No library stub file for module 'numpy',
cirq\cirq\google\xmon_gates.py,3,Module Error,20, No library stub file for module 'numpy',
cirq\cirq\google\xmon_gates.py,2,syntax,27,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\google\xmon_gates.py,2,syntax,216,"type expects no type arguments, but 1 given",
cirq\cirq\google\xmon_gates.py,2,syntax,361,"type expects no type arguments, but 1 given",
cirq\cirq\google\xmon_gates.py,2,syntax,531,"type expects no type arguments, but 1 given",
cirq\cirq\google\decompositions.py,3,Module Error,21, No library stub file for module 'numpy',
cirq\cirq\circuits\circuit.py,3,Module Error,29, No library stub file for module 'numpy',
cirq\cirq\circuits\circuit.py,2,syntax,29,(Stub files are from https://github.com/python/typeshed),
cirq\cirq\circuits\circuit.py,2,syntax,903," ""type"" expects no type arguments, but 1 given",
cirq\cirq\circuits\circuit.py,2,syntax,1420,"Incompatible default for argument ""value"" (default has type ""Callable[[TIn], TIn]"", argument has type ""Callable[[TIn], TOut]"")",
cirq\cirq\circuits\circuit.py,2,syntax,1422,"Incompatible return value type (got ""TIn"", expected ""TOut"")",
cirq\cirq\circuits\circuit.py,1,Annotation Variable,1447,Need type annotation for 'cur_items',
cirq\cirq\circuits\circuit.py,2,syntax,1451,"Incompatible types in ""yield"" (actual type ""Tuple[None, Any]"", expected type ""Tuple[TKey, List[TOut]]"")",
cirq\cirq\circuits\circuit.py,2,syntax,1457,"Incompatible types in ""yield"" (actual type ""Tuple[Optional[TKey], List[TOut]]"", expected type ""Tuple[TKey, List[TOut]]"")",
cirq\cirq\circuits\circuit_dag.py,3,Module Error,18,No library stub file for module 'networkx',
cirq\cirq\circuits\merge_single_qubit_gates.py,3,Module Error,19, No library stub file for module 'numpy',
cirq\cirq\circuits\merge_interactions.py,3,Module Error,19, No library stub file for module 'numpy',
cirq\cirq\testing\random_circuit.py,2,syntax,67,"Incompatible types in assignment (expression has type ""Dict[EigenGate, int]"", variable has type ""Optional[Dict[Gate, int]]"")",
cirq\cirq\testing\circuit_compare.py,3,Module Error,18, No library stub file for module 'numpy',
cirq\cirq\schedules\schedule.py,3,Module Error,17,Cannot find module named 'sortedcontainers',
cirq\cirq\google\merge_rotations.py,3,Module Error,19, No library stub file for module 'numpy',
cirq\cirq\line\placement\place_strategy.py,2,syntax,24,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\line\placement\anneal.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\google\programs.py,3,Module Error,16, No library stub file for module 'numpy',
cirq\cirq\google\sim\xmon_simulator.py,3,Module Error,42, No library stub file for module 'numpy',
cirq\cirq\google\engine\engine.py,3,Module Error,34,Cannot find module named 'apiclient',
cirq\examples\quantum_fourier_transform.py,3,Module Error,24, No library stub file for module 'numpy',
cirq\examples\phase_estimator.py,3,Module Error,48, No library stub file for module 'numpy',
cirq\examples\bell_inequality.py,3,Module Error,28, No library stub file for module 'numpy',
cirq\examples\bcs_mean_field.py,3,Module Error,134, No library stub file for module 'numpy',
cirq\examples\bcs_mean_field.py,3,Module Error,135,No library stub file for module 'scipy',
cirq\examples\bcs_mean_field.py,3,Module Error,135, No library stub file for module 'scipy.optimize',
cirq\examples\bcs_mean_field.py,3,Module Error,21, No library stub file for module 'numpy',
cirq\cirq\decompositions_test.py,3,Module Error,20, No library stub file for module 'numpy',
cirq\cirq\decompositions_test.py,3,Module Error,21,No library stub file for module 'pytest',
cirq\cirq\value\timestamp_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\value\symbol_test.py,3,Module Error,14,No library stub file for module 'pytest',
cirq\cirq\value\duration_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\value\angle_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\value\angle_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\testing\random_circuit_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\testing\lin_alg_utils_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\testing\lin_alg_utils_test.pY,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\testing\file_tester_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\testing\circuit_compare_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\study\visualize_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\study\visualize_test.py,3,Module Error,18,No library stub file for module 'matplotlib',
cirq\cirq\study\trial_result_test.py,3,Module Error,16, No library stub file for module 'numpy',
cirq\cirq\study\sweeps_test.py,3,Module Error,14,No library stub file for module 'pytest',
cirq\cirq\schedules\schedulers_test.py,3,Module Error,17,No library stub file for module 'pytest',
cirq\cirq\schedules\schedule_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\protocols\unitary_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\protocols\unitary_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\protocols\unitary_test.py,2,syntax,29,"type expects no type arguments, but 1 given",
cirq\cirq\protocols\inverse_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\protocols\inverse_test.py,2,syntax,25,"type expects no type arguments, but 1 given",
cirq\cirq\ops\three_qubit_gates_test.py,3,Module Error,16, No library stub file for module 'numpy',
cirq\cirq\ops\three_qubit_gates_test.py,3,Module Error,17,No library stub file for module 'pytest',
cirq\cirq\ops\reversible_composite_gate_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\ops\raw_types_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\ops\qubit_order_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\ops\pauli_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\ops\pauli_string_test.py,3,Module Error,16, No library stub file for module 'numpy',
cirq\cirq\ops\pauli_string_test.py,3,Module Error,17,No library stub file for module 'pytest',
cirq\cirq\ops\pauli_interaction_gate_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\ops\pauli_interaction_gate_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\ops\op_tree_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\ops\matrix_gates_test.py,3,Module Error,16, No library stub file for module 'numpy',
cirq\cirq\ops\matrix_gates_test.py,3,Module Error,17,No library stub file for module 'pytest',
cirq\cirq\ops\gate_operation_test.py,3,Module Error,14, No library stub file for module 'numpy',
cirq\cirq\ops\gate_operation_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\ops\gate_features_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\ops\eigen_gate_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\ops\eigen_gate_test.py,3,Module Error,18,No library stub file for module 'pytest',
cirq\cirq\ops\controlled_gate_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\ops\controlled_gate_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\ops\common_gates_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\ops\common_gates_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\ops\clifford_gate_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\line\line_qubit_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\line\placement\sequence_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\line\placement\optimization_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\line\placement\greedy_test.Py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\line\placement\anneal_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\line\placement\anneal_test.py,3,Module Error,18,No library stub file for module 'pytest',
cirq\cirq\linalg\transformations_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\linalg\diagonalize_test.py,3,Module Error,18, No library stub file for module 'numpy',
cirq\cirq\linalg\diagonalize_test.py,3,Module Error,19,No library stub file for module 'pytest',
cirq\cirq\linalg\decompositions_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\linalg\decompositions_test.py,3,Module Error,18,No library stub file for module 'pytest',
cirq\cirq\linalg\combinators_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\google\xmon_gates_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\google\xmon_gates_test.py,3,Module Error,16, No library stub file for module 'numpy',
cirq\cirq\google\xmon_device_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\google\programs_test.py,3,Module Error,14, No library stub file for module 'numpy',
cirq\cirq\google\programs_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\google\params_test.py,3,Module Error,14,No library stub file for module 'pytest',
cirq\cirq\google\optimize_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\google\decompositions_test.py,3,Module Error,18, No library stub file for module 'numpy',
cirq\cirq\google\decompositions_test.py,3,Module Error,19,No library stub file for module 'pytest',
cirq\cirq\google\convert_to_xmon_gates_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\google\sim\xmon_stepper_test.py,3,Module Error,19, No library stub file for module 'numpy',
cirq\cirq\google\sim\xmon_stepper_test.py,3,Module Error,20,No library stub file for module 'pytest',
cirq\cirq\google\sim\xmon_simulator_test.py,3,Module Error,23, No library stub file for module 'numpy',
cirq\cirq\google\sim\xmon_simulator_test.py,3,Module Error,24,No library stub file for module 'pytest',
cirq\cirq\google\sim\mem_manager_test.py,3,Module Error,20,No library stub file for module 'pytest',
cirq\cirq\google\sim\mem_manager_test.py,3,Module Error,22, No library stub file for module 'numpy',
cirq\cirq\google\engine\env_config_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\google\engine\env_config_test.py,3,Module Error,17,Cannot find module named 'apiclient',
cirq\cirq\google\engine\engine_test.py,3,Module Error,19, No library stub file for module 'numpy',
cirq\cirq\google\engine\engine_test.py,3,Module Error,20,No library stub file for module 'pytest',
cirq\cirq\google\engine\engine_test.py,3,Module Error,22,Cannot find module named 'apiclient',
cirq\cirq\extension\extensions_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\extension\cast_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\devices\grid_qubit_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\contrib\quirk\quirk_gate.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\contrib\qcircuit\qcircuit_diagrammable.py,2,syntax,23,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\contrib\paulistring\pauli_string_raw_types.py,2,syntax,29,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\contrib\paulistring\convert_to_clifford_gates.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\contrib\acquaintance\permutation.py,2,syntax,28,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\circuits\text_diagram_drawer_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\circuits\qasm_output_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\circuits\moment_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\circuits\merge_single_qubit_gates_test.py,3,Module Error,15, No library stub file for module 'numpy',
cirq\cirq\circuits\merge_interactions_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\circuits\convert_to_cz_and_single_gates_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\circuits\convert_to_cz_and_single_gates_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\circuits\circuit_test.py,3,Module Error,18, No library stub file for module 'numpy',
cirq\cirq\circuits\circuit_test.py,3,Module Error,19,No library stub file for module 'pytest',
cirq\cirq\circuits\circuit_dag_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\circuits\circuit_dag_test.py,3,Module Error,17,No library stub file for module 'networkx',
cirq\cirq\contrib\jobs\depolarizer_channel.py,3,Module Error,19, No library stub file for module 'numpy',
cirq\cirq\contrib\acquaintance\permutation_test.py,3,Module Error,18,No library stub file for module 'pytest',
cirq\cirq\contrib\quirk\export_to_quirk_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\contrib\qcircuit\qcircuit_pdf.py,3,Module Error,20,Cannot find module named 'pylatex',
cirq\cirq\contrib\qcircuit\qcircuit_pdf.py,2,syntax,20,"(Perhaps setting MYPYPATH or using the ""--ignore-missing-imports"" flag would help)",
cirq\cirq\contrib\paulistring\convert_to_pauli_string_phasors.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\contrib\acquaintance\devices.py,2,syntax,25,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\contrib\acquaintance\gates_test.py,3,Module Error,19,No library stub file for module 'numpy.random',
cirq\cirq\contrib\acquaintance\gates_test.py,3,Module Error,20,No library stub file for module 'pytest',
cirq\cirq\contrib\acquaintance\devices_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\pauli_string_optimize.py,3,Module Error,15,No library stub file for module 'networkx',
cirq\cirq\contrib\acquaintance\strategy_test.py:17:1,3,Module Error,17,No library stub file for module 'pytest',
cirq\cirq\contrib\acquaintance\executor.py,2,syntax,34,Invalid metaclass 'abc.ABCMeta',
cirq\cirq\contrib\acquaintance\executor_test.py,3,Module Error,18, No library stub file for module 'numpy',
cirq\cirq\contrib\acquaintance\executor_test.py,3,Module Error,19,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\pauli_string_raw_types_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\pauli_string_phasor_test.py,3,Module Error,16,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\pauli_string_phasor_test.py,3,Module Error,17, No library stub file for module 'numpy',
cirq\cirq\contrib\paulistring\pauli_string_dag_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\convert_to_pauli_string_phasors_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\convert_to_clifford_gates_test.py,3,Module Error,15,No library stub file for module 'pytest',
cirq\cirq\contrib\paulistring\convert_gate_set_test.py,3,Module Error,15,No library stub file for module 'pytest',
